"tmp_study_case_id";"bme_name";"description"
"25";"Transit Access";"Hubway stations serve every line of the Metro (the ‘T’), commuter rail, and ferry, as well as more than 60 bus routes to accommodate multi-modal trips."
"25";"Affordability";"Hubway offers $5 memberships and extended trip times subsidized by the City of Boston in collaboration with Boston Public Health Commission to low-income residents."
"25";"Procurement Contract";"Signed by Motivate with PBSC Urban Solutions for bicycles, hardware, and equipment."
"25";"Build-Operate Concession";"The four participating cities have signed individual concession contracts with Motivate (previously Alta Bicycle Share) to operate the system. Each city has different risk and revenue-sharing agreements with the operator, stipulated in the contract. Initially, the City of Boston split operating costs 50-50 with the operator and also split profits from user charges and advertising revenue in half. Starting 2014, the city pays the entire operation costs in return for all the profits from membership fees, user charges, and advertising."
"25";"Sponsorship Agreement";"While New Balance is the title sponsor for the scheme; each city has sponsorship agreements with various private sponsors."
"25";"Public-Private Sponsorship (PPP)";"Owned by participating municipalities (public entity) and operated by Motivate (Private, for-profit entity)."
"25";"Bicycle Plan";"1. Boston Bikes Program: Boston Bikes is part of Mayor Walsh’s vision for a vibrant and healthy city that benefits all. We help plan and design streets for bicycling, host fun rides and events, and teach Bostonians of all ages how to ride safely and responsibly in the City. We provide free bikes to low-income residents, add bike parking, and manage the City’s bikes hare program. Our goal is to make Boston a world-class bicycling city.

	2. Boston Bike Network Plan: As an effort toward goals outlined in the Boston Climate Action Plan, in addition to implementing a bike-share system, the City of Boston has developed a Boston Bike Network Plan in collaboration with the neighboring municipalities, various city departments, and numerous state agencies."
"25";"City Climate-Action/Resilience Plan";"Boston Climate Action Plan ‘Greenovate Boston’: The Boston Climate Action Plan has a target of increasing the share of bicycle commute trips to 10% by 2020."
"25";"Subscription/Membership fees";"Hubway has 24-hour and 72-hour passes for $6 and $12 respectively. Monthly membership costs $20, whereas an annual membership can be obtained by paying $85. Members can ride free-of-cost for the first 30 minutes, after which an incremental user charge is levied."
"25";"User Charges";"Hubway has 24-hour and 72-hour passes for $6 and $12 respectively. Monthly membership costs $20, whereas an annual membership can be obtained by paying $85. Members can ride free-of-cost for the first 30 minutes, after which an incremental user charge is levied."
"25";"Fines for misuse of Service/Asset";"The fine for stolen/damaged bikes is $1000."
"25";"Advertising Revenue";"$510,000 were raised through an advertising partnership with Van Wagner by the City of Boston in 2011. Van Wagner has an on-going contract with the City of Boston. Cambridge does not have an advertising contract."
"25";"Non-exclusive Private Sponsorship";"Private sponsorships for capital investment and/or operations included $600,000 from New Balance, a national footwear manufacturer based in Boston (the title-sponsor), and $1.35 million from 18 local private institutions, which sponsored 27 stations."
"25";"Public Grant";"$5.4 million were fundraised to launch Hubway, of which $3.1 million were spent on capital costs, with the remainder available for operations in years 1-2. Capital funding sources included a public grant of $3.1 million from the Federal Transit Administration (FTA) to the participating cities, of which $1.8 million went to Boston, $450,000 from the Boston Public Health Commission (BPHC), of which $50,000 was reserved for non-capital expenses such as subsidized memberships and $250,000 from the FTA’s Congestion Mitigation and Air Quality (CMAQ) grant program, funneled through the local Metropolitan Planning Organization (MAPC) with subsequent grants in 2012 and 2013 of $675,000 for capital projects and operations."
"25";"Donations";"The Barr Foundation provided a donation of $150,000 initially and an additional $300,000 investment. BPHC and Barr Foundation funds paid for stations in low-income neighborhoods."
"25";"Parking Fees and Fines";"The City of Cambridge raised $280,000 to pitch in towards capital expenses by selling resident parking permits."
"26";"Sidewalks/Plazas";
"26";"Space between landscaped areas and adjacent to other infrastructure";
"26";"Private Property";
"26";"Bicycles";"3rd Generation bike-share system comprising of 900 bikes across 84 automated docking stations."
"26";"Ease of Access";"Users can pay cash in participating 7-Eleven, Family Dollar, or Ace Cash Express locations to register for an Indego key."
"26";"Branding";"The program has numerous promotional events with giveaways for schools, and other institutions. It runs a ‘Perks Program’, through which Indego Key holders qualify for discounts and special offers at specific businesses and vendors."
"26";"Bicycle Culture";"Indego runs numerous workshops and training sessions, and partners with bicycling groups to promote the benefits of biking."
"26";"Transit Access";"The Mayor’s Office of Transportation and Utilities (MOTU) collaborated with SEPTA, the regional transit authority to locate Indego stations near SEPTA locations."
"26";"Affordability";"Low-income residents holding PA ACCESS cards (card providing recipients access to Cash Assistance, SNAP and Medical Assistance benefits) can use the system at subsidized rates."
"26";"Marketing";"Indego is the first bike-share program to have a complete mass media campaign that includes radio, television, billboards, and a robust social media presence."
"26";"Request for Proposal (RFP)";"The City of Philadelphia put out an RFP in 2013 inviting bids for a bike-share system."
"26";"Procurement Contract";"Bicycle Transit Systems has signed a procurement with B-Cycle to procure equipment and software for the system."
"26";"Build-Operate Concession Contract";"The City has signed a 5-year concession contract with Bicycle Transit Systems to build and operate the system. The operator is paid $2 million a year. The city gets revenue from the membership fees and user charges."
"26";"Sponsorship Agreement";"The city has signed a sponsorship agreement with Independence Blue Cross, Capital One is the media sponsor."
"26";"Public-Private Sponsorship (PPP)";"The system is owned and managed by the City of Philadelphia (public entity), with procurement and operation contracted to Bicycle Transit Systems (private, for-profit entity)."
"26";"Subscription/Membership Fees";"Indego offers a monthly pass for $15 ($5 for PA ACCESS cardholders). Users can check out bikes for an hour at no charge and pay $4 per hour for trips exceeding an hour ($2 per hour for PA ACCESS cardholders). Users also have the option of paying per trip. Indego offers IndegoFlex at $10 per year that enables users to check out bikes for $4 an hour. Users can also walk up to the station and use a credit card to check out a bike paying $4 for a 30-minute ride. The system also offers Group and Corporate passes."
"26";"User Charges";"Indego offers a monthly pass for $15 ($5 for PA ACCESS cardholders). Users can check out bikes for an hour at no charge and pay $4 per hour for trips exceeding an hour ($2 per hour for PA ACCESS cardholders). Users also have the option of paying per trip. Indego offers IndegoFlex at $10 per year that enables users to check out bikes for $4 an hour. Users can also walk up to the station and use a credit card to check out a bike paying $4 for a 30-minute ride. The system also offers Group and Corporate passes."
"26";"Advertising Revenue";"The system has advertising partners, for advertising space on the docking stations. They are managed by the city."
"26";"Non-exclusive Private Sponsorship";"Independence Blue Cross has committed to a sponsorship of $8.5 million over a five-year period ($1.7 million a year) and acquired naming rights. Capital One is the media sponsor for the system. The system also has station sponsors."
"26";"Public Grant";"$4.5 million more were raised through federal, state, and foundation grants."
"26";"Private Grant";"Some stations on private premises have been paid for by the property owners."
"26";"Donation";"The first expansion of the system in 2016 was funded by a $1.5 million donation from the William Penn Foundation."
"26";"City Budget";"The Philadelphia City Council granted $3 million from the city’s capital budget as seed funding for the project."
"27";"Sidewalks/Plazas";
"27";"Dedicated Bicycle Lanes";
"27";"Bicycles";"3rd Generation bike-share system comprising of 157 bicycles across 27 stations."
"27";"Road Safety";"The city has developed bicycle infrastructure such as dedicated bike-lanes in several areas of the city. Bike Walk KC has developed a Strategic Plan (2016 to 2020) to promote bike-share in the city. Building safe neighborhoods and streets is one of the key components of this plan."
"27";"Bicycle Culture";"Bike Walk KC carries out extensive outreach in collaboration with other local organizations to promote the benefits of bicycling and also organizes educational events and initiatives."
"27";"Procurement Contract";"Contract for procurement of equipment, website hosting platform, and software from B-Cycle."
"27";"Build-Operate-Concession Contract";"Bike Walk KC has signed a concession contract with the city to build and operate the system."
"27";"Public-Private Partnership (PPP)";"The system is owned and operated by Bike Walk KC and implemented in partnership with the city."
"27";"Membership/Subscription Fees";"As of 2016, the system offers an annual membership for $65, which entitles users to first 60 minutes of a trip free-of-charge, following which they have to pay $2 for every additional 30 minutes. Short-term memberships entitling riders to free 30-minute rides (every additional 30 minutes for $2) can be bought for $7 for 24-hours, $ 15 for 7-days, and $ 25 for 30 days. The system also offers a single ride option costing $3 for 30-minutes followed by $3 for every additional 30-minutes."
"27";"User Charges";"As of 2016, the system offers an annual membership for $65, which entitles users to first 60 minutes of a trip free-of-charge, following which they have to pay $2 for every additional 30 minutes. Short-term memberships entitling riders to free 30-minute rides (every additional 30 minutes for $2) can be bought for $7 for 24-hours, $ 15 for 7-days, and $ 25 for 30 days. The system also offers a single ride option costing $3 for 30-minutes followed by $3 for every additional 30-minutes."
"27";"Advertising Revenue";"The system has an advertising program that enables patrons to put their ads on their equipment."
"27";"Non-Exclusive Private Sponsorship";"Blue Cross Blue Shield of Kansas City provided the upfront funds to implement the first 12 docking stations with 90 bicycles. The system has several other sponsors."
"27";"Public Grant";"Bike Walk KC secured $250,000 in federal funding and an equal amount of local corporate and public funding to increase the size of the system from 12 to 27 docking stations. The system receives an annual operating subsidy from the City of KCMO’s public transportation fund."
"27";"Donations";"The system has received Health Care Foundation funds to develop a bike share equity plan to make the system accessible to underserved communities."
"28";"Sidewalks/Plazas";
"28";"On-street Parking Space";
"28";"Space between landscaped areas and adjacent to other infrastructure";
"28";"Dedicated Bicycle Lanes";
"28";"Bicycles";"4th Generation bike-share system comprising of over 1,700 bicycles across 190 stations."
"28";"Road Safety";"Minneapolis has repeatedly ranked amongst the top 5 bicycle-friendly cities in USA. Both cities have a well-developed network of dedicated bicycle lanes. As of 2015, Minneapolis had 129 miles of on-street bikeways and 97 miles of off-street bike ways. The Minnesota state statute has defined bicyclist rights and responsibilities and framed traffic safety."
"28";"Branding";"The system has branded merchandize that can be purchased on its website. Additionally, it partners with local organizations to organize promotional events for their employees and offer discounted memberships."
"28";"Bicycle Culture";"Nice Ride partners with numerous community and non-governmental organizations in the area to organize events to promote bicycling."
"28";"Affordability";"In 2011, Nice Ride began a program to reach out to low-income communities in the Nice Ride service area. Sponsored by the Target Corporation, the program provided discounted and free annual memberships to social services providers able to share them with clients."
"28";"Research and Development";"In 2015, Nice Ride Minnesota and streets.mn initiated a project to crowdsource analysis and recommendations for the evolution of the system. Nice Ride reached out to the community for ideas, advice and recommendations for station locations and system operations, and to the users of streets.mn for inputs on overall system development. Recommendations were compiled by Community Design Group, and presented to the Nice Ride board of directors as a new, five-year strategic plan."
"28";"Bike and Station Assembly";"The system partnered with two local businesses, Freewheel Bike Shop and Sieco construction to assemble and install bike share equipment."
"28";"Request for Proposal (RFP)";"In 2008, the Twin Cities Bike Share Project launched an RFP to invite bids on a bike-share system."
"28";"Procurement Contract";"Contract for equipment (one-time cost) and use of software (recurring fee charged per dock) with PBSC Urban Solutions (Bixi)."
"28";"Build-Operate Concession";"Enabling Nice Ride Minnesota to operate the system."
"28";"Sponsorship Agreement";"With Blue Cross Blue Shield Minnesota."
"28";"Non-profit owned and managed";"Owned and operated by a private non-profit, Nice Ride Minnesota."
"28";"Bicycle Plan";"Bicycling Master Plan: The City Council has adopted a Bicycling Master Plan in 2011 to improve the safety and mobility of bicyclists, and increase the number of trips taken via bicycles in the region."
"28";"Membership/Subscription Fees";"As of 2016, the scheme offers single rides at $4 for half hour, and a 3-day pass at $10 for unlimited 30-minute rides for short-term users. Long-term memberships include a 30-Day pass for $18 and an annual (season) pass for $75, that entitles users to unlimited 60-minute rides. Every additional half hour for both types of users is charged $4. In 2015, subscriptions and fees contributed to 76% of the annual operating costs."
"28";"User Charges";"As of 2016, the scheme offers single rides at $4 for half hour, and a 3-day pass at $10 for unlimited 30-minute rides for short-term users. Long-term memberships include a 30-Day pass for $18 and an annual (season) pass for $75, that entitles users to unlimited 60-minute rides. Every additional half hour for both types of users is charged $4. In 2015, subscriptions and fees contributed to 76% of the annual operating costs."
"28";"Non-exclusive Private Sponsorship";"Blue Cross Blue Shield Minnesota is the title sponsor of the scheme, contributing $3 million obtained from a tobacco settlement. The scheme has numerous other corporate sponsors. It also has station sponsors that have helped offset 18% of the annual operating costs in 2015."
"28";"Public Grant";"The system received an initial funding of $2.8 million from Bike/Walk Twin Cities (a program of Transit for Livable Communities funded through the Federal Highway Administration). The City of Minneapolis was also a founding partner, contributing $350,000 towards start-up funding. Since 2012, the National Park Service has invested over $2 million, funding the placement of 50 stations in the Mississippi National River and Recreation Area."
"28";"Donations";"It has received numerous donations for capital and operating expenses from local institutions and organizations. The system also has several individual and business donors, and in-kind donors who have contributed professional services or materials pro bono."
"29";"Sidewalks/Plazas";
"29";"Dedicated Bicycle Lanes";"The city has dedicated bike lanes in most neighborhoods."
"29";"Bicycles";"3rd Generation bike-share system comprising of 55 stations with 450 bikes, to be expanded to 76 stations with 650 bikes."
"29";"Road Safety";"Since adopting a bicycling plan in 2011, the city has developed bicycling infrastructure, and passed ordinances to enhance safety of bicyclists."
"29";"Bicycle Culture";"Bike Walk KC organizes numerous educational and training initiatives in San Antonio to encourage people to ride bicycles and promote safe bicycling practices."
"29";"Community Outreach";"The program has an internal Community Liaison and an Advisory Committee. They work with various members of the community to get feedback on the bicycle-sharing program. They are currently in the process of developing a ‘storytelling video’ with a message about the ownership and management of the bike-share system to increase awareness about the system."
"29";"Marketing";"The program also works with the HR/Health Departments of various organizations in the city to sell corporate memberships in bulk. Some of these organizations subsidize memberships for their employees."
"29";"Request for Proposal (RFP)";"The City of San Antonio launched an RFP in 2009, soliciting proposals for a bike-share system, in addition to two other initiatives."
"29";"Procurement Contract";"The non-profit has a two-part contract with B-cycle. The first part comprises of an upfront payment for all the equipment. The second comprises of quarterly fee charged per dock. It pays B-Cycle for using their software and hosting the website on their platform."
"29";"Build-Operate Concession Contract";"The scheme is operated by San Antonio Bike Share, a non-profit. The City has signed a concession contract with the non-profit, enabling it to operate the system on behalf of the city. It is responsible for the maintenance and upkeep of the scheme. The contract has several performance measures that the non-profit needs to conform with. The contract enables the non-profit to place stations in right of way, historic preservation districts, historic sites, etc."
"29";"Sponsorship Agreement";"The system has a sponsorship program entitling sponsors to place their logos on specific number of bicycles and other equipment based on the sponsorship amount."
"29";"Public-Private Partnership (PPP)";"The system is operated by San Antonio Bike Share (non-profit) in partnership with the San Antonio City Council and all assets are held in a trust."
"29";"Bicycle Plan";"San Antonio Bicycle Master Plan: The San Antonio Bicycle Master Plan lays great emphasis on bicyclists’ safety. Since adopting the plan in 2011, the city has developed bicycling infrastructure, and passed ordinances such as the ‘safe pass ordinance’ to promote bicycle friendly traffic habits."
"29";"Subscription/Membership Fees";"San Antonio B-Cycle has three membership options, a 24-hour pass for $12, a monthly membership for $18, and an annual membership for $100. First 60 minutes of every ride are free-of-charge followed by a $2 fee for every additional 30 minutes up to a maximum charge of $35 per day. Revenue earned through user fees is the main source of revenue (50%). Of this, 75% comes from ‘casual users’ purchasing the Day-pass (locals or tourists)."
"29";"User Charges";"San Antonio B-Cycle has three membership options, a 24-hour pass for $12, a monthly membership for $18, and an annual membership for $100. First 60 minutes of every ride are free-of-charge followed by a $2 fee for every additional 30 minutes up to a maximum charge of $35 per day. Revenue earned through user fees is the main source of revenue (50%). Of this, 75% comes from ‘casual users’ purchasing the Day-pass (locals or tourists)."
"29";"Non-exclusive Private Sponsorship";"The system has numerous corporate sponsors, with income from corporate sponsorships amounting to $70,600 in 2013 . The revenue from advertising is quite low (20%). The non-profit is currently restructuring the model for selling advertising space."
"29";"Public Grants";"The first phase of the system was funded through federal grants. They were administered through the City’s Office of Sustainability. These grants have covered all the capital expenses till date. The Center for Disease Control’s Communities Putting Prevention to Work (CPPW) provided $324,325 and $920,866 were procured through the Department of Energy’s Energy Efficiency Community Block Grant (EECBG) . The system was expanded in 2013 with a grant from the Federal Transit Administration, and the Texas Department of Transport provided $1.2 million in 2015 for further expansion of the system . The federal and state grants can be used only for capital costs. They do not pay for operating costs or maintenance."
"30";"Sidewalks/Plazas";
"30";"Bicycles";"3rd Generation bike-share system comprising of 75 bicycles across 11 stations."
"30";"Bicycle Culture";"Cyacle organizes meetups every two weeks for new users and enthusiasts and disburses information on how to use the bike-share system."
"30";"Sponsorship Agreement";"Cyacle has a sponsorship agreement with ADCB Bank."
"30";"For-profit owned and managed";"The system is owned and operated by Cyacle."
"30";"Membership/Subscription Fees";"The system offers short-term memberships for 24 hours and 72 hours for $4 and $11 respectively. Short-term users can ride first 60 minutes free of charge. The first 30 minutes beyond the hour incur a charge of $2.7, next 30 minutes $5.5 and $2.7 for every additional 30-minutes beyond that. Long-term memberships are offered for 30-days and one-year periods for $27 and $136 respectively. Long-term users can also ride first 60 minutes free of charge. The first 30 minutes beyond the hour incur a charge of $1.36, next 30 minutes $4 and $1.36 for every additional 30-minutes beyond that."
"30";"User Charges";"The system offers short-term memberships for 24 hours and 72 hours for $4 and $11 respectively. Short-term users can ride first 60 minutes free of charge. The first 30 minutes beyond the hour incur a charge of $2.7, next 30 minutes $5.5 and $2.7 for every additional 30-minutes beyond that. Long-term memberships are offered for 30-days and one-year periods for $27 and $136 respectively. Long-term users can also ride first 60 minutes free of charge. The first 30 minutes beyond the hour incur a charge of $1.36, next 30 minutes $4 and $1.36 for every additional 30-minutes beyond that."
"30";"Exclusive Private Sponsorship";"The system is sponsored by ADCB Bank, which has also acquired the naming rights."
"30";"Donation";"Cyacle was started with seed funding from the Khalifa Fund for Enterprise Development."
"31";"Sidewalks/Plazas";
"31";"Space between landscaped areas and adjacent to other infrastructure";"Metro Station premises"
"31";"Bicycles";"2nd Generation bike-share system consisting of bike shelters at 7 metro stations and secondary shelters in adjoining neighborhoods. Each bike shelter outside a metro station has between 8 to 20 bicycles. Users are issued a Smartcard with a chip that tracks bicycle location and usage."
"31";"Bicycle Culture";"Greenolution has launched Let us Cycle, an outreach initiative that aims to bring last mile connectivity to Metro commuters through bicycle-sharing. Commuters can also download the Let us Cycle app to register and pre-book bicycles."
"31";"Affordability";"The charges to register and use the scheme are extremely low."
"31";"Build-Operate Concession Contract";"The Delhi Metro Rail Corporation (DMRC) is a joint venture of the Government of India and Delhi government. DMRC has engaged Greenolution, a private service provider to build and operate the system."
"31";"Public-Private Partnership";"The system is implemented by DMRC and operated by Greenolution."
"31";"Membership/Subscription Fees";"As of 2016, the program offers two types of schemes. The Regular Scheme comprises of registration with a one-time payment of $0.75 towards the smart card and provision of two references. Registration is subject to verification and takes 24-hours. Each trip is charged $0.15, enabling users to ride for a maximum duration of 60-minutes. Users need to add value to Smart Cards to be able to use the system. The other scheme is OWNBYK, where users have to register with a security deposit of $60 and pay a monthly Smart Card recharge of $4.5 for unlimited rides."
"31";"User Charges";"As of 2016, the program offers two types of schemes. The Regular Scheme comprises of registration with a one-time payment of $0.75 towards the smart card and provision of two references. Registration is subject to verification and takes 24-hours. Each trip is charged $0.15, enabling users to ride for a maximum duration of 60-minutes. Users need to add value to Smart Cards to be able to use the system. The other scheme is OWNBYK, where users have to register with a security deposit of $60 and pay a monthly Smart Card recharge of $4.5 for unlimited rides."
"31";"Fines for misuse of service/asset";"The fine for losing a bicycle is $68."
"31";"Direct Equity";"Greenolution was an equity investor in the project, which helped to cover the upfront costs of building the system."
"32";"Private Property";"IISC Campus"
"32";"Bicycles";"2nd Generation bike-share system comprising of 150 bicycles across 6 stations. Users can register online, but bikes are checked out manually by attendants at every station. Gubbi Labs developed a software called EcBike that enabled users to register online or via Android devices."
"32";"Affordability";"The membership fees and user charges for the system are nominal ($1.5 and $0.07 respectively), making it extremely affordable."
"32";"Procurement Contract";"EMBARQ assisted in procuring bikes from BSA Hercules, a local bicycle manufacturer."
"32";"Sponsorship Agreement";"Sponsorship agreements with TI Cycles India, and Bio Diversity Conservation India Pvt. Ltd. (BCIL)."
"32";"Non-Profit-Institutional Partnership";"The system is owned and operated by the Ride a Cycle Foundation. The MoU partners support various aspects of the operation."
"32";"Membership/Subscription Fees";"Users can register by paying a monthly membership fee of $1.5, which entitles them to unlimited 30-minute trips, free of charge. Every additional 30-minutes beyond incurs a usage fee of $0.07."
"32";"User Charges";"Users can register by paying a monthly membership fee of $1.5, which entitles them to unlimited 30-minute trips, free of charge. Every additional 30-minutes beyond incurs a usage fee of $0.07."
"32";"Non-Exclusive Private Sponsorship";"The 150 bicycles were sponsored by TI Cycles India, and bicycle station racks were sponsored by Biodiversity Conservation India Pvt. Ltd. (BCIL), a biodiversity company in Bangalore. The system also has some other sponsors."
"32";"Public Grant";"The city government, Bruhat Bangalore Mahanagara Palike (BBMP) and the Bangalore Electricity Supply Company Ltd. (BESCOM) provided seed funding for the system."
"33";"Sidewalks/Plazas";
"33";"Dedicated Bicycle Lanes";
"33";"Bicycles";"3rd Generation bike-share system comprising of 2,000 bicycles across 200 stations."
"33";"Road Safety";"The city has constructed over 100 km of bicycle paths to encourage people to use bicycles."
"33";"Redistribution/Rebalancing";"The system for rebalancing bikes in the docking stations was developed in collaboration with the University of Tel Aviv."
"33";"Build-Operate-Transfer (BOT) Contract";"The system is operated by FSM Ground Services, a private company under a BOT agreement with the city that ends in 2021. It has to split any revenue exceeding $1.2 million with the city."
"33";"Public-Private Partnership (PPP)";"The system is owned and operated by FSM Ground Services, who will transfer it to the City after the concession ends."
"33";"Membership/Subscription Fees";"As of 2016, the system offers a 24-hour access pass for $4.5 ($6 on Saturdays and Public Holidays), a three-day pass for $13, and a weekly pass for $18.5. Annual memberships can be purchased for $74.5 ($64 for Tel Aviv Residents). The first 30 minutes of every trip are free-of-charge followed by a $1.6 charge for next 30 minutes, beyond which there is a steep rise in charges."
"33";"User Charges";"As of 2016, the system offers a 24-hour access pass for $4.5 ($6 on Saturdays and Public Holidays), a three-day pass for $13, and a weekly pass for $18.5. Annual memberships can be purchased for $74.5 ($64 for Tel Aviv Residents). The first 30 minutes of every trip are free-of-charge followed by a $1.6 charge for next 30 minutes, beyond which there is a steep rise in charges."
"33";"Fines for misuse of Service/Asset";"Failure to return a bike after 24 hours will incur a fine of $320."
"33";"City Budget";"The City of Tel Aviv pays the operator $1.6 million every year towards building and operation costs."
"34";"Heating, Ventilation, and Air-Conditioning (HVAC) Systems";"Energy efficient equipment for HVAC systems."
"34";"Lifts & Escalators";"Lifts and escalators complying with energy efficiency standards."
"34";"Lighting";"Energy efficient lighting systems."
"34";"Power Fixtures";"Fixtures to increase efficiency."
"34";"Cost-saving";"Savings from lower energy bills."
"34";"Integrated design including passive design";"Compliance with Sustainable Building Design (SBD) Guidelines on building separation, building setback and site coverage of greenery where site conditions permit; the tightened criteria for green and amenity features."
"34";"Building Certification";"BEAM Plus Certification."
"34";"Energy Performance Auditing";"Energy audits for key building service installations."
"34";"Local Government";"The Government of the Hong Kong Special Administrative Region, Electrical and Mechanical Services Department (EMSD)."
"34";"Green Building Certification/Rating Policy or Requirements";"Hong Kong has a requirement for Gross Floor Area (GFA) Concessions:
1.	New government buildings with a construction floor area of more than 5,000 meters square need to attain ""Gold"" rating or above under BEAM Plus.
2.	In 2011, the government set an overall cap on gross floor area (GFA) concessions for new building developments and specified prerequisites for obtaining GFA concessions. These prerequisites include compliance with the Sustainable Building Design (SBD) Guidelines as well as completion of registration for BEAM Plus certification of the Hong Kong Green Building Council."
"34";"Energy Efficiency Ordinance/Directive/Decree";"The Building Energy Efficiency Ordinance (BEEO) seeks to drive energy efficiency through stringent codes of practice and energy audits, and targets most public and private commercial buildings in Hong Kong, excluding small and historic buildings. The BEEO comprises of three central elements:
1.	Building Energy Code (BEC): New construction and existing buildings undergoing major retrofits are required to comply with BEC minimum standards and requirements for four key building service installations: air-conditioning, electrical, lift and escalators and lighting.
2.	Energy Audit Code (EAC): An energy audit must be conducted every ten years for the key building service installations in commercial buildings and in commercial components of composite buildings (e.g. shopping centers). The building’s energy audit report then needs to be publically displayed.
3.	Registered Energy Assessors (REA): Certified REAs are required to process the BEC certification and energy audit works required under the ordinance. REAs are not necessarily third parties and may be direct staff of the developers, building owners or business tenants. Submissions from such REAs therefore function as a type of self-reporting mechanism."
"34";"Floor Area (FAR) Bonus";"New private developments obtaining a BEAM Plus certification and conforming with the Sustainable Building Design (SBD) Guidelines are eligible for GFA concessions."
"35";"Renewable Energy Equipment";"Use of solar PV for Heating & Cooling, Water Heating, and Lighting."
"35";"Integrated design including passive design";"Mandatory to introduce a new element in buildings, with the particular characteristics of solar energy installations."
"35";"Local Government";"Barcelona City Council, and Barcelona Energy Agency"
"35";"Climate-Change Mitigation Plans or Carbon Reduction Goals";"1.	In 2002, Barcelona City Council approved the Energy Improvement Plan of Barcelona (PMEB), which was undertaken to increase energy production using renewable sources of primary energy, especially solar thermal energy.
2.	Barcelona’s Energy, Climate Change and Air Quality (PECQ) Plan is hosted by Barcelona’s City Council aiming to provide Public Administration with strategic tools in order to improve citizens’ health, as well as to improve the planet by increasing energy efficiency and reducing greenhouse gas emissions together with other local effect pollutants."
"35";"Energy Performance/Sustainability Certificate or Standards";"1.	Royal Decree 1826/2009: this law establishes minimum requirements in terms of energy efficiency for heat generators. Since 2010, it has been illegal to install boilers that do not meet the performance requirements specified in the decree. The decree also limits the interior temperature of occupied buildings that have air conditioning.
2.	Royal Decree 47/2007 is a fundamental law for the energy certification of new builds. It assigns each building an energy efficiency class that ranges from A for the most efficient, to G for the least efficient.
3.	Commission Regulation (EC) No. 859/2009 and No. 244/2009, establish eco-design requirements for the sale of non-directional lamps for household and non-household use and those integrated into other products.
4.	UNE 16001, Energy Management Systems, Requirements, and Guidance for Use is the official European standard for energy management systems that has superseded all previous standards, including the old UNE 216301 standard."
"35";"Energy Efficiency Ordinance/Directive/Decree";"1.	In 1999, the Barcelona City Council approved the Barcelona Solar Thermal Ordinance (STO). For the first time, a regulation was approved which made it compulsory for new buildings and those under refurbishment to incorporate solar energy systems to meet the demand for hot water. Since 2011, the Barcelona Environmental Bylaw (OMA) has incorporated the Solar Thermal Ordinance to promote and regulate, by means of the local regulation, low-temperature solar energy facilities to produce hot water for use in new buildings and the new photovoltaic bylaw, which regulates the incorporation of photovoltaic systems in new buildings and retrofits.
2.	Eco-efficiency Decree regulates the adoption of environmental and Eco efficiency criteria in buildings with regard to water, waste, materials and construction systems."
"35";"Building Codes/Energy Codes";"The Technical Building Code (TBC), approved by Royal Decree, sets basic quality requirements that buildings need to meet, including their installations, to satisfy terms of safety and habitability. A number of the basic requirements it covers are associated with fire safety, noise protection and energy savings."
"36";"Heating, Ventilation, and Air-Conditioning (HVAC) Systems";"Heating, air-conditioning, and large ventilation systems to be compliant with EPBD."
"36";"Water Heating Systems";"Hot water equipment to be EPBD compliant."
"36";"Indoor Air Quality Control";"Indoor climate of buildings to be regulated as per the 2015 Passive Standard."
"36";"Miscellaneous Equipment";"Mandatory adoption of the K55 insulation standard in the residential and tertiary sector for thermal insulation of new buildings. Service vehicles from the Public Procurement Action Plan: (e.g. hardware, lumber, office equipment, furniture etc.) to be energy efficient."
"36";"Public Campaigns and Awareness Programs";"Since 2007, the Brussels-Capital region has launched an annual contest, called “the Exemplary Buildings Contest” for the design and construction or renovation of buildings meeting strong environmental criteria, including energy use. In 2007 and 2008, 76 projects won the competition, totaling over 200,000 sq.m of built-up area. The buildings consume up to 10 times less energy and are built with ecological materials."
"36";"Building Certification";"An Energy Performance Certificate must be available from the moment the building is put up for sale or rent. The owner must give a valid certificate to the buyer when the deed is established. In case of rent, the renter must get a copy."
"36";"Energy Performance Auditing";"If new buildings do not comply with energy performance requirements stipulated in the EPBD, adequate sanction mechanisms are in place. This may require differentiated sanctions for new buildings after the NZEB deadlines have passed."
"36";"Building/Energy Efficiency or Environmental Plans/Initiatives";"1.	The “Sustainable Building” quality-labelling framework aims to encourage the entire Brussels building sector to adopt exemplary standards with regard to sustainable construction and renovation. This reference system will allow an objective assessment of the sustainability aspects of the building assessed and a rapid comparison between different buildings, just like the EPB certificate. It will take into account the consumption of non-renewable resources in the construction of the building and the impact of this consumption in the environment.
2.	In 1999, the Brussels-Capital Region launched the ""Enterprise Ecodynamique"" (Eco-dynamic Enterprise) seal of approval. Actions are centered on environmental performance, such as a reduction in energy consumption, waste, and primary resources. It also includes financial assessments of company accounts."
"36";"Green Building Certification/Rating Policy or Requirement";"All federal public services have to be EMAS certified."
"36";"Regulations for Energy Declaration and Certification";"Mandatory Display of the Energy Performance Certificate (EPC) for all newly built buildings (residential, tertiary or public) as of January 2006."
